branch,division,group_name,description,qty,total_amount
Stories Unknown,HOT BAR SECTION,TEA,SOUTHERN MINT HERBAL TEA,27.0,3166.67
Stories Unknown,HOT BAR SECTION,TEA,ADD EARL GREY LAVENDER BAG,1.0,33.33
Stories Unknown,HOT BAR SECTION,TEA,ADD GREEN TEA BAG,1.0,33.33
Stories Unknown,HOT BAR SECTION,TEA,GOLDEN CHAMOMILE HERBAL TEA MEDIUM,29.0,4000.0
Stories Unknown,HOT BAR SECTION,TEA,SWEET GINGER PEACH BLACK TEA MEDIUM,55.0,8500.0
Stories Unknown,HOT BAR SECTION,TEA,ADD GOLDEN CHAMOMILE HERBAL TEA BAG,2.0,66.67
Stories Unknown,HOT BAR SECTION,TEA,ADD SWEET GINGER PEACH BLACK TEA BAG,2.0,66.67
Stories Unknown,HOT BAR SECTION,TEA,BOMBAY CHAI BLACK TEA MEDIUM,31.0,4000.0
Stories Unknown,HOT BAR SECTION,TEA,MEDITERRANEAN CARAMEL TEA MEDIUM,3.0,166.67
Stories Unknown,HOT BAR SECTION,TEA,LEMONGRASS&ORANGE TEA MEDIUM,11.0,1833.33
Stories Unknown,HOT BAR SECTION,BEANS,YIRGACHEFFE BEANS 250G,5.0,3333.33
Stories Unknown,HOT BAR SECTION,BEANS,HOUSE BLEND BEANS 250G,11.0,5866.67
Stories Unknown,HOT BAR SECTION,BEANS,AMERICAN COFFEE BEANS 250G,1.0,533.33
Stories Unknown,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED AMERICANO SMALL,234.0,39973.33
Stories Unknown,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED AMERICANO MEDIUM,141.0,32173.33
Stories Unknown,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED LATTE SMALL,701.0,138200.0
Stories Unknown,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED LATTE MEDIUM,950.0,221666.67
Stories Unknown,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED MOCHA SMALL,171.0,34766.67
Stories Unknown,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED MOCHA MEDIUM,266.0,70933.33
Stories Unknown,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED WHITE MOCHA SMALL,423.0,95666.67
Stories Unknown,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED WHITE MOCHA MEDIUM,838.0,223466.67
Stories Unknown,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED AMERICANO LARGE,34.0,8893.33
Stories Unknown,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED LATTE LARGE,129.0,34400.0
Stories Unknown,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED MOCHA LARGE,24.0,7200.0
Stories Unknown,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED WHITE MOCHA LARGE,57.0,17100.0
Stories Unknown,COLD BAR SECTION,MIXED COLD BEVERAGES,DOUBLE SHOT SHAKEN MEDIUM,301.0,71753.33
Stories Unknown,COLD BAR SECTION,MIXED COLD BEVERAGES,DOUBLE SHOT SHAKEN LARGE,33.0,8800.0
Stories Unknown,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED MATCHA LATTE SMALL,455.0,88200.0
Stories Unknown,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED MATCHA LATTE MEDIUM,611.0,142566.67
Stories Unknown,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED MATCHA LATTE LARGE,175.0,46666.67
Stories Unknown,COLD BAR SECTION,MIXED COLD BEVERAGES,DOUBLE SHOT SHAKEN SMALL,379.0,36200.0
Stories Unknown,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED CARAMEL MACCHIATO SMALL,429.0,95666.67
Stories Unknown,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED CARAMEL MACCHIATO MEDIUM,564.0,150400.0
Stories Unknown,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED CARAMEL MACCHIATO LARGE,75.0,22500.0
Stories Unknown,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED TOFFEE NUT LATTE SMALL,11.0,2566.67
Stories Unknown,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED TOFFEE NUT LATTE MEDIUM,14.0,3733.33
Stories Unknown,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED CLASSIC CHOC MEDIUM,119.0,31733.33
Stories Unknown,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED CLASSIC CHOC SMALL,136.0,31733.33
Stories Unknown,COLD BAR SECTION,MIXED COLD BEVERAGES,BLUE NADE,194.0,51733.33
Stories Unknown,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED TOFFEE NUT LATTE LARGE,4.0,1333.33
Stories Unknown,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED CLASSIC CHOC LARGE,14.0,4200.0
Stories Unknown,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED SPANISH LATTE SMALL,185.0,45480.0
Stories Unknown,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED SPANISH LATTE MEDIUM,266.0,78393.33
Stories Unknown,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED SALTED CARAMEL LATTE SMALL,66.0,10733.33
Stories Unknown,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED SALTED CARAMEL LATTE MEDIUM,58.0,15466.67
Stories Unknown,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED SALTED CARAMEL LATTE LARGE,5.0,1666.67
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,COFFEE FRAPPE SMALL,74.0,14800.0
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,COFFEE FRAPPE MEDIUM,38.0,8866.67
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,CARAMEL FRAPP SMALL,1545.0,349766.67
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,CARAMEL FRAPP MEDIUM,2273.0,606133.33
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,CARAMEL FRAPP LARGE,249.0,80280.0
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,COFFEE FRAPP LARGE,6.0,1600.0
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,MOCHA FRAPP SMALL,161.0,36866.67
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,MOCHA FRAPP MEDIUM,352.0,93866.67
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,MOCHA FRAPP LARGE,17.0,5100.0
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,ESPRESSO FRAPP SMALL,59.0,11600.0
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,ESPRESSO FRAPP MEDIUM,109.0,25433.33
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,ESPRESSO FRAPP LARGE,14.0,3733.33
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,VANILLA CREAM FRAPP SMALL,259.0,58566.67
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,VANILLA CREAM FRAPP MEDIUM,323.0,86133.33
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,VANILLA CREAM FRAPP LARGE,44.0,13200.0
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,WHITE MOCHA FRAPP SMALL,83.0,18433.33
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,WHITE MOCHA FRAPP MEDIUM,129.0,34400.0
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,WHITE MOCHA FRAPP LARGE,11.0,3300.0
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,WHITE MOCHA CREAM FRAPP SMALL,38.0,8866.67
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,WHITE MOCHA CREAM FRAPP MEDIUM,61.0,16266.67
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,CHOCOLATE CREAM FRAPP MEDIUM,579.0,154400.0
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,CHOCOLATE CREAM FRAPP LARGE,40.0,12000.0
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,WHITE MOCHA CREAM FRAPP LARGE,9.0,2700.0
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,CHOCOLATE CREAM FRAP SMALL,473.0,106866.67
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,CARAMEL CREAM FRAPP MEDIUM,388.0,103466.67
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,CARAMEL CREAM FRAPP LARGE,40.0,12933.33
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,CARAMEL CREAM FRAPP SMALL,430.0,97533.33
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,MATCHA CREAM FRAPP SMALL,116.0,26833.33
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,MATCHA CREAM FRAPP MEDIUM,147.0,39200.0
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,MATCHA CREAM FRAPP LARGE,29.0,8700.0
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,STRAWBERRY CREAM FRAPP SMALL,751.0,166833.33
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,STRAWBERRY CREAM FRAPP MEDIUM,873.0,232800.0
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,STRAWBERRY CREAM FRAPP LARGE,86.0,25800.0
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,VANILLA FRAP SMALL,123.0,28700.0
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,VANILLA FRAPP MEDIUM,227.0,60533.33
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,VANILLA FRAPP LARGE,14.0,4200.0
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,HAZELNUT FRAPP SMALL,21.0,4900.0
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,HAZELNUT FRAPP MEDIUM,43.0,11466.67
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,HAZELNUT FRAPP LARGE,3.0,900.0
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,TOFFEENUT FRAP SMALL,2.0,520.0
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,TOFFEENUT FRAP MEDIUM,11.0,3226.67
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,TOFFEENUT CREAM FRAP MEDIUM,5.0,1466.67
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,TOFFEENUT FRAP LARGE,1.0,333.33
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,SALTED CARAMEL FRAPPE SMALL,44.0,10220.0
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,SALTED CARAMEL CREAM FRAPPE SMALL,24.0,3906.67
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,SALTED CARAMEL CREAM FRAPPE MEDIUM,37.0,10913.33
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,SALTED CARAMEL CREAM FRAPPE LARGE,4.0,1333.33
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,SALTED CARAMEL FRAPPE MEDIUM,72.0,21300.0
Stories Unknown,COLD BAR SECTION,BLENDED BRINKS,SALTED CARAMEL FRAPPE LARGE,1.0,333.33
Stories Unknown,COLD BAR SECTION,ICE TEA,ICED PEACH TEA SMALL,267.0,8166.67
Stories Unknown,COLD BAR SECTION,ICE TEA,ICED PEACH TEA MEDIUM,49.0,13066.67
Stories Unknown,COLD BAR SECTION,ICE TEA,ICED LEMON TEA SMALL,15.0,700.0
Stories Unknown,COLD BAR SECTION,ICE TEA,ICED LEMON TEA MEDIUM,14.0,3733.33
Stories Unknown,COLD BAR SECTION,ICE TEA,ICED RASPBERRY TEA SMALL,10.0,1633.33
Stories Unknown,COLD BAR SECTION,ICE TEA,ICED RASPBERRY TEA MEDIUM,7.0,1866.67
Stories Unknown,COLD BAR SECTION,ICE TEA,ICED LEMON TEA LARGE,3.0,900.0
Stories Unknown,COLD BAR SECTION,ICE TEA,ICED PEACH TEA LARGE,6.0,1800.0
Stories Unknown,COLD BAR SECTION,ADD SYRUP,ADD CARAMEL SMALL,746.0,21366.67
Stories Unknown,COLD BAR SECTION,ADD SYRUP,ADD VANILLA SMALL,568.0,17666.67
Stories Unknown,COLD BAR SECTION,ADD SYRUP,ADD HAZELNUT SMALL,68.0,2100.0
Stories Unknown,COLD BAR SECTION,ADD SYRUP,ADD CARAMEL MEDIUM,1058.0,35266.67
Stories Unknown,COLD BAR SECTION,ADD SYRUP,ADD VANILLA MEDIUM,648.0,21600.0
Stories Unknown,COLD BAR SECTION,ADD SYRUP,ADD HAZELNUT MEDIUM,78.0,2600.0
Stories Unknown,COLD BAR SECTION,ADD SYRUP,ADD SHOT,2712.5,88050.0
Stories Unknown,COLD BAR SECTION,ADD SYRUP,ADD WHIPPED CREAM,100.0,3333.33
Stories Unknown,COLD BAR SECTION,ADD SYRUP,ADD MOCHA SMALL,68.0,1066.67
Stories Unknown,COLD BAR SECTION,ADD SYRUP,ADD WHITE MOCHA SMALL,879.0,12200.0
Stories Unknown,COLD BAR SECTION,ADD SYRUP,ADD CARAMEL DRIZZLE,1565.0,51666.67
Stories Unknown,COLD BAR SECTION,ADD SYRUP,ADD CHOCOLATE DRIZZLE,227.0,7533.33
Stories Unknown,COLD BAR SECTION,ADD SYRUP,ADD CARAMEL LARGE,86.0,2866.67
Stories Unknown,COLD BAR SECTION,ADD SYRUP,ADD VANILLA LARGE,99.0,3300.0
Stories Unknown,COLD BAR SECTION,ADD SYRUP,ADD HAZELNUT LARGE,4.0,133.33
Stories Unknown,COLD BAR SECTION,ADD SYRUP,ADD CARAMEL SF MEDIUM,260.5,8683.33
Stories Unknown,COLD BAR SECTION,ADD SYRUP,ADD CARAMEL SF LARGE,30.0,1000.0
Stories Unknown,COLD BAR SECTION,ADD SYRUP,ADD VANILLA SF SMALL,242.0,8000.0
Stories Unknown,COLD BAR SECTION,ADD SYRUP,ADD VANILLA SF MEDIUM,305.5,10183.33
Stories Unknown,COLD BAR SECTION,ADD SYRUP,ADD VANILLA SF LARGE,103.0,3433.33
Stories Unknown,COLD BAR SECTION,ADD SYRUP,ADD CARAMEL SF SMALL,198.0,6466.67
Stories Unknown,COLD BAR SECTION,ADD SYRUP,ADD YIRGACHEFFE SHOT,13.0,433.33
Stories Unknown,COLD BAR SECTION,ADD SYRUP,REPLACE 1 SHOT YIRGACHEFFE,197.0,13133.33
Stories Unknown,COLD BAR SECTION,ADD SYRUP,REPLACE 2 SHOT YIRGACHEFFE,228.0,15200.0
Stories Unknown,COLD BAR SECTION,ADD SYRUP,REPLACE 3 SHOT YIRGACHEFFE,10.0,666.67
Stories Unknown,COLD BAR SECTION,ADD SYRUP,NO WHIPPED CREAM,201.0,0.0
Stories Unknown,COLD BAR SECTION,ADD SYRUP,ADD WHITE MOCHA MEDIUM,428.0,14266.67
Stories Unknown,COLD BAR SECTION,ADD SYRUP,ADD WHITE MOCHA LARGE,47.0,1566.67
Stories Unknown,COLD BAR SECTION,ADD SYRUP,1 SHOT DECAFE,163.0,0.0
Stories Unknown,COLD BAR SECTION,ADD SYRUP,2 SHOT DECAFE,184.0,0.0
Stories Unknown,COLD BAR SECTION,ADD SYRUP,3 SHOT DECAFE,40.0,0.0
Stories Unknown,COLD BAR SECTION,ADD SYRUP,ADD MOCHA LARGE,6.0,200.0
Stories Unknown,COLD BAR SECTION,ADD SYRUP,ADD MOCHA MEDIUM,46.0,1533.33
Stories Unknown,COLD BAR SECTION,ADD SYRUP,STRAWBERRY DRIZZLE TOPPING,136.0,4533.33
Stories Unknown,COLD BAR SECTION,ADD SYRUP,ADD TOFFEE NUT SMALL,4.0,100.0
Stories Unknown,COLD BAR SECTION,ADD SYRUP,ADD TOFFEE NUT MEDIUM,4.0,133.33
Stories Unknown,COLD BAR SECTION,ADD SYRUP,ADD BANANA SAUCE SMALL,17.0,566.67
Stories Unknown,COLD BAR SECTION,ADD SYRUP,ADD BANANA SAUCE MEDIUM,20.0,666.67
Stories Unknown,COLD BAR SECTION,ADD SYRUP,ADD RASPBERRY SAUCE SMALL,75.0,2500.0
Stories Unknown,COLD BAR SECTION,ADD SYRUP,ADD RASPBERRY SAUCE MEDIUM,66.0,2200.0
Stories Unknown,COLD BAR SECTION,ADD SYRUP,ADD RASPBERRY SAUCE LARGE,1.0,66.67
Stories Unknown,COLD BAR SECTION,REPLACE,REPLACE ALMOND SMALL,145.0,13673.33
Stories Unknown,COLD BAR SECTION,REPLACE,REPLACE ALMOND MEDIUM,192.0,22146.67
Stories Unknown,COLD BAR SECTION,REPLACE,REPLACE COCONUT SMALL,211.0,19166.67
Stories Unknown,COLD BAR SECTION,REPLACE,REPLACE COCONUT MEDIUM,234.0,21320.0
Stories Unknown,COLD BAR SECTION,REPLACE,REPLACE SKIMMED MILK SMALL,501.0,0.0
Stories Unknown,COLD BAR SECTION,REPLACE,REPLACE SKIMMED MILK MEDIUM,671.0,0.0
Stories Unknown,COLD BAR SECTION,REPLACE,REPLACE LACTOSE FREE SMALL,280.0,0.0
Stories Unknown,COLD BAR SECTION,REPLACE,REPLACE LACTOSE FREE MEDIUM,308.0,0.0
Stories Unknown,COLD BAR SECTION,REPLACE,REPLACE SUGAR FREE OAT MEDIUM,33.0,4400.0
Stories Unknown,COLD BAR SECTION,REPLACE,REPLACE SUGAR FREE OAT SMALL,25.0,2500.0
Stories Unknown,COLD BAR SECTION,REPLACE,REPLACE SUGAR FREE SOYA SMALL,13.0,1300.0
Stories Unknown,COLD BAR SECTION,REPLACE,REPLACE SUGAR FREE SOYA MEDIUM,11.0,1466.67
Stories Unknown,COLD BAR SECTION,REPLACE,REPLACE SUGAR FREE ALMOND SMALL,6.0,600.0
Stories Unknown,COLD BAR SECTION,REPLACE,REPLACE SUGAR FREE ALMOND MEDIUM,10.0,1333.33
Stories Unknown,COLD BAR SECTION,REPLACE,REPLACE ALMOND LARGE,22.0,3186.67
Stories Unknown,COLD BAR SECTION,REPLACE,REPLACE COCONUT LARGE,67.0,6180.0
Stories Unknown,COLD BAR SECTION,REPLACE,REPLACE LACTOSE FREE LARGE,64.0,0.0
Stories Unknown,COLD BAR SECTION,REPLACE,REPLACE SKIMMED MILK LARGE,67.0,0.0
Stories Unknown,COLD BAR SECTION,REPLACE,REPLACE SUGAR FREE OAT LARGE,3.0,500.0
Stories Unknown,COLD BAR SECTION,REPLACE,REPLACE SUGAR FREE SOYA LARGE,1.0,166.67
Stories Unknown,GRAB&GO BEVERAGES,SOFT DRINKS,WATER,7429.0,247633.33
Stories Unknown,GRAB&GO BEVERAGES,SOFT DRINKS,ORANGE JUICE,165.0,27366.67
Stories Unknown,GRAB&GO BEVERAGES,SOFT DRINKS,LEMON JUICE,88.0,14666.67
Stories Unknown,GRAB&GO BEVERAGES,SOFT DRINKS,MAWARDI JUICE,67.0,11166.67
Stories Unknown,GRAB&GO BEVERAGES,SOFT DRINKS,APPLE JUICE,62.0,10333.33
Stories Unknown,GRAB&GO BEVERAGES,SOFT DRINKS,POMEGRANATE JUICE,84.0,14000.0
Stories Unknown,GRAB&GO BEVERAGES,SOFT DRINKS,SAN BENEDETTO CLEMENTINE,65.0,10800.0
Stories Unknown,GRAB&GO BEVERAGES,SOFT DRINKS,SAN BENEDETTO GLASS 250ML/24,60.0,8000.0
Stories Unknown,GRAB&GO BEVERAGES,SOFT DRINKS,SAN BENEDETTO LEMON 330ML/24,75.0,12433.33
Stories Unknown,GRAB&GO BEVERAGES,SOFT DRINKS,RIM SPARKLING WATER-250 ML,337.0,19200.0
Stories Unknown,COFFEE PASTRY,COFFEE PASTRY,DOUBLE CHOCOLATE MUFFIN,137.0,27400.0
Stories Unknown,COFFEE PASTRY,COFFEE PASTRY,ORANGE CAKE,80.0,24000.0
Stories Unknown,COFFEE PASTRY,COFFEE PASTRY,RED VELVET CAKE,186.0,55800.0
Stories Unknown,COFFEE PASTRY,COFFEE PASTRY,BROWNIES CAKE,233.0,38833.33
Stories Unknown,COFFEE PASTRY,COFFEE PASTRY,LAZY CAKE,386.0,115800.0
Stories Unknown,COFFEE PASTRY,COFFEE PASTRY,BLUEBERRY CHEESE CAKE,226.0,75333.33
Stories Unknown,COFFEE PASTRY,COFFEE PASTRY,FRAMBOISE CHEESE CAKE,168.0,56000.0
Stories Unknown,COFFEE PASTRY,COFFEE PASTRY,LOTUS CHEESE CAKE,276.0,92000.0
Stories Unknown,COFFEE PASTRY,COFFEE PASTRY,CHOCOLATE MUFFIN,29.0,5800.0
Stories Unknown,COFFEE PASTRY,COFFEE PASTRY,CARROT CAKE,152.0,45600.0
Stories Unknown,COFFEE PASTRY,COFFEE PASTRY,VANILLA MUFFIN,40.0,8000.0
Stories Unknown,COFFEE PASTRY,COFFEE PASTRY,BLUEBERRY MUFFIN,84.0,16800.0
Stories Unknown,COFFEE PASTRY,COFFEE PASTRY,CHOCOLATE SABLE,9.0,2100.0
Stories Unknown,COFFEE PASTRY,COFFEE PASTRY,RED VELVET MUFFIN_,11.0,2200.0
Stories Unknown,CROISSANT,CROISSANT,CHEESE CROISSANT,294.0,50033.33
Stories Unknown,CROISSANT,CROISSANT,THYME CROISSANT,69.0,13800.0
Stories Unknown,CROISSANT,CROISSANT,PLAIN CROISSANT,68.0,11600.0
Stories Unknown,CROISSANT,CROISSANT,CHOCOLATE CROISSANT,202.0,34166.67
Stories Unknown,COOKIES,COOKIES,NY STYLE COOKIE - CHOCOLATE CHIP WALNUT,269.0,89666.67
Stories Unknown,COOKIES,COOKIES,NY STYLE COOKIE - DOUBLE CHOCOLATE,34.0,11333.33
Stories Unknown,FRENCH PASTRY,FRENCH PASTRY,FONDANT AU CHOCOLAT,238.0,79333.33
Stories Unknown,FRENCH PASTRY,FRENCH PASTRY,ECLAIR ORIGINAL,107.0,24966.67
Stories Unknown,FRENCH PASTRY,FRENCH PASTRY,ECLAIR CHOCOLAT,108.0,25200.0
Stories Unknown,FRENCH PASTRY,FRENCH PASTRY,TARTE AU CHOCOLAT,5.0,1166.67
Stories Unknown,FRENCH PASTRY,FRENCH PASTRY,CHRISTMAS ORIGINAL ECLAIR,107.0,24966.67
Stories Unknown,FRENCH PASTRY,FRENCH PASTRY,ECLAIR CARAMEL,94.0,21933.33
Stories Unknown,FRENCH PASTRY,FRENCH PASTRY,MACARONS,181.0,48266.67
Stories Unknown,FRENCH PASTRY,FRENCH PASTRY,CHOCOLATE SALTED CAKE,96.0,28800.0
Stories Unknown,FROZEN YOGHURT,COMBO TOPPINGS,GUMMY BEARS COMBO,1430.0,0.0
Stories Unknown,FROZEN YOGHURT,COMBO TOPPINGS,GRANOLLA COMBO,1840.0,0.0
Stories Unknown,FROZEN YOGHURT,COMBO TOPPINGS,WAFER ROLL COMBO,674.0,0.0
Stories Unknown,FROZEN YOGHURT,COMBO TOPPINGS,MARSHMALLOW COMBO,2277.0,0.0
Stories Unknown,FROZEN YOGHURT,COMBO TOPPINGS,BROWNIES COMBO,1519.0,0.0
Stories Unknown,FROZEN YOGHURT,COMBO TOPPINGS,LOTUS BISCUIT COMBO,1692.0,0.0
Stories Unknown,FROZEN YOGHURT,COMBO TOPPINGS,CHOCOLATE CHIPS COMBO,2050.0,0.0
Stories Unknown,FROZEN YOGHURT,COMBO TOPPINGS,OREO COMBO,1779.0,0.0
Stories Unknown,FROZEN YOGHURT,COMBO TOPPINGS,SPRINKLES COMBO,860.0,0.0
Stories Unknown,FROZEN YOGHURT,COMBO TOPPINGS,MIXED NUTS COMBO,619.0,0.0
Stories Unknown,FROZEN YOGHURT,COMBO TOPPINGS,STRAWBERRY COMBO,7842.0,0.0
Stories Unknown,FROZEN YOGHURT,COMBO TOPPINGS,PINEAPPLE COMBO,3129.0,0.0
Stories Unknown,FROZEN YOGHURT,COMBO TOPPINGS,MANGO COMBO,5861.0,0.0
Stories Unknown,FROZEN YOGHURT,COMBO TOPPINGS,HONEY COMBO,4.0,0.0
Stories Unknown,FROZEN YOGHURT,COMBO TOPPINGS,BLUEBERRIES COMBO,6995.0,0.0
Stories Unknown,FROZEN YOGHURT,TOPPINGS,GRANOLLA,87.0,5800.0
Stories Unknown,FROZEN YOGHURT,TOPPINGS,WAFER ROLL,8.0,533.33
Stories Unknown,FROZEN YOGHURT,TOPPINGS,MARSHMALLOW,87.0,5800.0
Stories Unknown,FROZEN YOGHURT,TOPPINGS,BROWNIES,32.0,2133.33
Stories Unknown,FROZEN YOGHURT,TOPPINGS,LOTUS BISCUITS,332.0,22133.33
Stories Unknown,FROZEN YOGHURT,TOPPINGS,OREO,383.0,25533.33
Stories Unknown,FROZEN YOGHURT,TOPPINGS,SPRINKLES,28.0,1866.67
Stories Unknown,FROZEN YOGHURT,TOPPINGS,CHOCOLATE CHIPS,206.0,13733.33
Stories Unknown,FROZEN YOGHURT,TOPPINGS,MIXED NUTS,19.0,1266.67
Stories Unknown,FROZEN YOGHURT,TOPPINGS,GUMMY BEARS,38.0,2533.33
Stories Unknown,FROZEN YOGHURT,TOPPINGS,STRAWBERRY,197.0,13133.33
Stories Unknown,FROZEN YOGHURT,TOPPINGS,PINEAPPLE,166.0,11066.67
Stories Unknown,FROZEN YOGHURT,TOPPINGS,MANGO,159.0,10600.0
Stories Unknown,FROZEN YOGHURT,TOPPINGS,HONEY,222.0,14800.0
Stories Unknown,FROZEN YOGHURT,TOPPINGS,BLUEBERRIES,542.0,36133.33
Stories Unknown,FROZEN YOGHURT,LUXURY TOPPINGS,PISTACHIO CRUNCH,1159.0,115900.0
Stories Unknown,FROZEN YOGHURT,LUXURY TOPPINGS,CHOCOLATE CRUNCH,695.0,69500.0
Stories Unknown,FROZEN YOGHURT,LUXURY TOPPINGS,VARIEGATO WAFER,130.0,13000.0
Stories Unknown,FROZEN YOGHURT,LUXURY TOPPINGS,CRUMBOLE RED BERRIES,99.0,9900.0
Stories Unknown,FROZEN YOGHURT,LUXURY TOPPINGS,CRUMBOLE PISTACHIO,156.0,15600.0
Stories Unknown,FROZEN YOGHURT,LUXURY TOPPINGS,ARABESCHI COCCO SNAK,19.0,1900.0
Stories Unknown,FROZEN YOGHURT,LUXURY TOPPINGS,CRUMBLE LEMON,14.0,1400.0
Stories Unknown,FROZEN YOGHURT,FROZEN YOGHURT,ORIGINAL YOGHURT SMALL,44.5,13183.33
Stories Unknown,FROZEN YOGHURT,FROZEN YOGHURT,ORIGINAL YOGHURT MEDIUM,12.0,3966.67
Stories Unknown,FROZEN YOGHURT,FROZEN YOGHURT,ORIGINAL YOGHURT X-LARGE,12.0,5566.67
Stories Unknown,FROZEN YOGHURT,FROZEN YOGHURT,ORIGINAL YOGHURT COMBO SMALL,1185.0,379400.0
Stories Unknown,FROZEN YOGHURT,FROZEN YOGHURT,ORIGINAL YOGHURT COMBO MEDIUM,457.0,180150.0
Stories Unknown,FROZEN YOGHURT,FROZEN YOGHURT,ORIGINAL YOGHURT COMBO X-LARGE,43.0,22733.33
Stories Unknown,FROZEN YOGHURT,FROZEN YOGHURT,CHOCOLATE YOGHURT SMALL,26.0,7666.67
Stories Unknown,FROZEN YOGHURT,FROZEN YOGHURT,CHOCOLATE YOGHURT MEDIUM,3.5,1166.67
Stories Unknown,FROZEN YOGHURT,FROZEN YOGHURT,CHOCOLATE YOGHURT COMBO SMALL,1163.7,362483.33
Stories Unknown,FROZEN YOGHURT,FROZEN YOGHURT,CHOCOLATE YOGHURT COMBO MEDIUM,405.0,160016.67
Stories Unknown,FROZEN YOGHURT,FROZEN YOGHURT,CHOCOLATE YOGHURT COMBO X-LARGE,44.5,23616.67
Stories Unknown,FROZEN YOGHURT,FROZEN YOGHURT,OREO CREAM YOGHURT X-LARGE,0.0,0.0
Stories Unknown,FROZEN YOGHURT,FROZEN YOGHURT,MANGO YOGHURT SMALL,79.0,22416.67
