branch,service_type,category,section,product_desc,qty,revenue,total_cost,total_profit,cost_pct,profit_pct
Stories Lau,TAKE AWAY,BEVERAGES,HOT BAR SECTION,LEMONGRASS&ORANGE TEA MEDIUM,88.0,4866.36,3259.36,1607.0,66.98,33.02
Stories Lau,TAKE AWAY,BEVERAGES,HOT BAR SECTION,MATCHA LATTE LARGE,22.0,5937.06,2101.25,3835.81,35.39,64.61
Stories Lau,TAKE AWAY,BEVERAGES,HOT BAR SECTION,MATCHA LATTE MEDIUM,98.0,21994.36,7784.07,14210.29,35.39,64.61
Stories Lau,TAKE AWAY,BEVERAGES,HOT BAR SECTION,MATCHA LATTE SMALL,138.0,26604.51,8661.5,17943.01,32.56,67.44
Stories Lau,TAKE AWAY,BEVERAGES,HOT BAR SECTION,MEDITERRANEAN CARAMEL TEA MEDIUM,7.0,1174.18,259.27,914.91,22.08,77.92
Stories Lau,TAKE AWAY,BEVERAGES,HOT BAR SECTION,MOCHA LARGE,6.0,1818.59,572.02,1246.57,31.45,68.55
Stories Lau,TAKE AWAY,BEVERAGES,HOT BAR SECTION,MOCHA MEDIUM,95.0,24500.18,7101.86,17398.32,28.99,71.01
Stories Lau,TAKE AWAY,BEVERAGES,HOT BAR SECTION,MOCHA SMALL,115.0,23720.69,6163.2,17557.49,25.98,74.02
Stories Lau,TAKE AWAY,BEVERAGES,HOT BAR SECTION,ORGANIC GREEN TEA MEDIUM,106.0,14942.94,3926.05,11016.89,26.27,73.73
Stories Lau,TAKE AWAY,BEVERAGES,HOT BAR SECTION,SALTED CARAMEL LATTE LARGE,4.0,1315.32,389.5,925.82,29.61,70.39
Stories Lau,TAKE AWAY,BEVERAGES,HOT BAR SECTION,SALTED CARAMEL LATTE MEDIUM,25.0,6630.63,1872.71,4757.92,28.24,71.76
Stories Lau,TAKE AWAY,BEVERAGES,HOT BAR SECTION,SALTED CARAMEL LATTE SMALL,27.0,4605.4,1400.21,3205.19,30.4,69.6
Stories Lau,TAKE AWAY,BEVERAGES,HOT BAR SECTION,SIGNATURE HOT CHOCOLATE LARGE,12.0,3571.48,1217.93,2353.55,34.1,65.9
Stories Lau,TAKE AWAY,BEVERAGES,HOT BAR SECTION,SIGNATURE HOT CHOCOLATE MEDIUM,135.0,35906.54,11458.07,24448.47,31.91,68.09
Stories Lau,TAKE AWAY,BEVERAGES,HOT BAR SECTION,SIGNATURE HOT CHOCOLATE SMALL,276.0,59110.51,18677.7,40432.81,31.6,68.4
Stories Lau,TAKE AWAY,BEVERAGES,HOT BAR SECTION,SINGLE ESPRESSO MACC,10.0,1514.53,185.08,1329.45,12.22,87.78
Stories Lau,TAKE AWAY,BEVERAGES,HOT BAR SECTION,SINGLE LONGO,52.0,9408.05,973.47,8434.58,10.35,89.65
Stories Lau,TAKE AWAY,BEVERAGES,HOT BAR SECTION,SOUTHERN MINT HERBAL TEA MEDIUM,60.0,8028.53,2244.96,5783.57,27.96,72.04
Stories Lau,TAKE AWAY,BEVERAGES,HOT BAR SECTION,SPANISH LATTE MEDIUM,234.0,68866.7,16747.67,52119.03,24.32,75.68
Stories Lau,TAKE AWAY,BEVERAGES,HOT BAR SECTION,SPANISH LATTE SMALL,419.0,70414.41,21202.01,49212.4,30.11,69.89
Stories Lau,TAKE AWAY,BEVERAGES,HOT BAR SECTION,STEAMED MILK LARGE,1.0,200.0,43.47,156.53,21.73,78.27
Stories Lau,TAKE AWAY,BEVERAGES,HOT BAR SECTION,STEAMED MILK MEDIUM,2.0,334.84,73.39,261.45,21.92,78.08
Stories Lau,TAKE AWAY,BEVERAGES,HOT BAR SECTION,STEAMED MILK SMALL,15.0,1989.19,440.04,1549.15,22.12,77.88
Stories Lau,TAKE AWAY,BEVERAGES,HOT BAR SECTION,SWEET GINGER PEACH BLACK TEA MEDIUM,16.0,1833.33,592.61,1240.72,32.32,67.68
Stories Lau,TAKE AWAY,BEVERAGES,HOT BAR SECTION,TOFFEE NUT LATTE MEDIUM,33.0,8818.02,2694.81,6123.21,30.56,69.44
Stories Lau,TAKE AWAY,BEVERAGES,HOT BAR SECTION,TOFFEE NUT LATTE SMALL,34.0,7967.87,2055.48,5912.39,25.8,74.2
Stories Lau,TAKE AWAY,BEVERAGES,HOT BAR SECTION,TRIPLE ESPRESSO,15.0,420.42,556.54,-136.12,132.38,-32.38
Stories Lau,TAKE AWAY,BEVERAGES,HOT BAR SECTION,WHITE MOCHA LARGE,39.0,11621.59,3281.65,8339.94,28.24,71.76
Stories Lau,TAKE AWAY,BEVERAGES,HOT BAR SECTION,WHITE MOCHA MEDIUM,313.0,80741.85,20771.38,59970.47,25.73,74.27
Stories Lau,TAKE AWAY,BEVERAGES,HOT BAR SECTION,WHITE MOCHA SMALL,790.0,83872.84,37917.6,45955.24,45.21,54.79
Stories Lau,TAKE AWAY,FOOD,CINNAMON ROLLS,CHOCOLATE ROLL LARGE,288.0,50396.39,16902.16,33494.23,33.54,66.46
Stories Lau,TAKE AWAY,FOOD,CINNAMON ROLLS,CLASSIC CINNAMON ROLL LARGE,1061.0,256352.85,53344.92,203007.93,20.81,79.19
Stories Lau,TAKE AWAY,FOOD,CINNAMON ROLLS,EXTRA CREAM CHEESE FROSTING MIX,9.0,286.79,88.81,197.98,30.97,69.03
Stories Lau,TAKE AWAY,FOOD,CINNAMON ROLLS,LOTUS ROLL,1.0,366.67,61.05,305.62,16.65,83.35
Stories Lau,TAKE AWAY,FOOD,CINNAMON ROLLS,RED CINNAMON ROLL,15.0,4954.95,830.24,4124.71,16.76,83.24
Stories Lau,TAKE AWAY,FOOD,COFFEE PASTRY,BLUEBERRY CHEESE CAKE,85.0,30501.5,20945.98,9555.52,68.67,31.33
Stories Lau,TAKE AWAY,FOOD,COFFEE PASTRY,BLUEBERRY MUFFIN,80.0,15945.94,3535.16,12410.78,22.17,77.83
Stories Lau,TAKE AWAY,FOOD,COFFEE PASTRY,BROWNIES CAKE,236.0,37599.1,15489.47,22109.63,41.2,58.8
Stories Lau,TAKE AWAY,FOOD,COFFEE PASTRY,CARROT CAKE,10.0,2732.44,990.47,1741.97,36.25,63.75
Stories Lau,TAKE AWAY,FOOD,COFFEE PASTRY,CHOCOLATE SABLE,5.0,1173.58,596.67,576.91,50.84,49.16
Stories Lau,TAKE AWAY,FOOD,COFFEE PASTRY,DOUBLE CHOCOLATE MUFFIN,133.0,26520.72,6245.55,20275.17,23.55,76.45
Stories Lau,TAKE AWAY,FOOD,COFFEE PASTRY,FRAMBOISE CHEESE CAKE,24.0,9369.37,5821.08,3548.29,62.13,37.87
Stories Lau,TAKE AWAY,FOOD,COFFEE PASTRY,LAZY CAKE,171.0,53604.78,25507.5,28097.28,47.58,52.42
Stories Lau,TAKE AWAY,FOOD,COFFEE PASTRY,LOTUS CHEESE CAKE,65.0,25318.32,15673.07,9645.25,61.9,38.1
Stories Lau,TAKE AWAY,FOOD,COFFEE PASTRY,ORANGE CAKE,48.0,14162.43,2924.86,11237.57,20.65,79.35
Stories Lau,TAKE AWAY,FOOD,COFFEE PASTRY,RED VELVET CAKE,94.0,28227.63,14021.67,14205.96,49.67,50.33
Stories Lau,TAKE AWAY,FOOD,COFFEE PASTRY,RED VELVET MUFFIN_,9.0,1790.99,351.82,1439.17,19.64,80.36
Stories Lau,TAKE AWAY,FOOD,COOKIES,NY STYLE COOKIE - CHOCOLATE CHIP WALNUT,231.0,74852.85,20674.5,54178.35,27.62,72.38
Stories Lau,TAKE AWAY,FOOD,COOKIES,NY STYLE COOKIE - DOUBLE CHOCOLATE,46.0,14771.77,4117.0,10654.77,27.87,72.13
Stories Lau,TAKE AWAY,FOOD,CROISSANT,ALMOND CROISSANT,13.0,2888.89,1241.07,1647.82,42.96,57.04
Stories Lau,TAKE AWAY,FOOD,CROISSANT,CHEESE CROISSANT,376.0,77220.78,31408.53,45812.25,40.67,59.33
Stories Lau,TAKE AWAY,FOOD,CROISSANT,CHOCOLATE CROISSANT,266.0,54556.7,22219.87,32336.83,40.73,59.27
Stories Lau,TAKE AWAY,FOOD,CROISSANT,PLAIN CROISSANT,29.0,5304.51,2112.74,3191.77,39.83,60.17
Stories Lau,TAKE AWAY,FOOD,CROISSANT,THYME CROISSANT,154.0,29353.52,11945.27,17408.25,40.69,59.31
Stories Lau,TAKE AWAY,FOOD,FRENCH PASTRY,CHOCOLATE SALTED CAKE,82.0,26389.49,11742.4,14647.09,44.5,55.5
Stories Lau,TAKE AWAY,FOOD,FRENCH PASTRY,ECLAIR CHOCOLAT,5.0,1190.0,656.33,533.67,55.15,44.85
Stories Lau,TAKE AWAY,FOOD,FRENCH PASTRY,ECLAIR ORIGINAL,5.0,1166.66,656.33,510.33,56.26,43.74
Stories Lau,TAKE AWAY,FOOD,FRENCH PASTRY,FONDANT AU CHOCOLAT,180.0,63081.08,37590.0,25491.08,59.59,40.41
Stories Lau,TAKE AWAY,FOOD,FRENCH PASTRY,MACARONS,77.0,20572.97,11290.57,9282.4,54.88,45.12
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,ARABESCHI COCCO SNAK,1.0,100.0,45.65,54.35,45.65,54.35
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,BLUEBERRIES,151.0,10230.09,4504.83,5725.26,44.04,55.96
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,BLUEBERRIES COMBO,4429.0,0.0,132131.83,-132131.83,0.0,100.0
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,BLUEBERRY YOGHURT COMBO MEDIUM,146.5,57192.19,12433.51,44758.68,21.74,78.26
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,BLUEBERRY YOGHURT COMBO SMALL,557.0,190111.11,35978.04,154133.07,18.92,81.08
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,BLUEBERRY YOGHURT COMBO X-LARGE,7.0,3573.57,962.22,2611.35,26.93,73.07
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,BLUEBERRY YOGHURT MEDIUM,0.5,165.17,42.44,122.73,25.69,74.31
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,BLUEBERRY YOGHURT SMALL,2.0,600.61,129.19,471.42,21.51,78.49
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,BROWNIES,10.0,666.67,184.73,481.94,27.71,72.29
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,BROWNIES COMBO,1496.0,0.0,27635.31,-27635.31,0.0,100.0
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,CHOCOLATE CHIPS,50.0,3441.44,446.01,2995.43,12.96,87.04
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,CHOCOLATE CHIPS COMBO,1823.0,0.0,16261.46,-16261.46,0.0,100.0
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,CHOCOLATE CRUNCH,827.0,83200.36,39296.03,43904.33,47.23,52.77
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,CHOCOLATE QUELLA,341.0,34514.12,11263.99,23250.13,32.64,67.36
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,CHOCOLATE QUELLA CRUNCH,11.0,1108.41,641.97,466.44,57.92,42.08
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,CHOCOLATE YOGHURT COMBO MEDIUM,309.5,121657.75,23297.02,98360.73,19.15,80.85
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,CHOCOLATE YOGHURT COMBO SMALL,1106.5,338736.47,63507.08,275229.39,18.75,81.25
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,CHOCOLATE YOGHURT COMBO X-LARGE,28.5,14897.3,3479.97,11417.33,23.36,76.64
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,CHOCOLATE YOGHURT MEDIUM,7.5,2524.33,564.55,1959.78,22.36,77.64
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,CHOCOLATE YOGHURT SMALL,29.5,8434.54,1693.14,6741.4,20.07,79.93
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,CHOCOLATE YOGHURT X-LARGE,8.5,3966.67,1037.89,2928.78,26.17,73.83
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,CRUMBOLE PISTACHIO,21.0,2100.0,1182.21,917.79,56.3,43.7
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,CRUMBOLE RED BERRIES,39.0,3900.0,1394.8,2505.2,35.76,64.24
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,GRANOLLA,10.0,660.12,53.44,606.68,8.1,91.9
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,GRANOLLA COMBO,1182.0,0.0,6317.11,-6317.11,0.0,100.0
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,GUMMY BEARS,24.0,1553.81,177.21,1376.6,11.4,88.6
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,GUMMY BEARS COMBO,1486.0,0.0,10972.25,-10972.25,0.0,100.0
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,HONEY,102.0,7091.89,916.48,6175.41,12.92,87.08
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,HONEY COMBO,84.0,0.0,754.75,-754.75,0.0,100.0
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,LOTUS BISCUIT COMBO,1677.0,0.0,18289.41,-18289.41,0.0,100.0
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,LOTUS BISCUITS,34.0,2220.48,370.8,1849.68,16.7,83.3
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,LOTUS SPREAD YOGHURT COMBO MEDIUM,0.5,195.2,34.77,160.43,17.81,82.19
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,LOTUS SPREAD YOGHURT COMBO SMALL,0.5,177.18,26.55,150.63,14.98,85.02
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,LOTUS SPREAD YOGHURT MEDIUM,0.5,165.17,34.77,130.4,21.05,78.95
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,LOTUS SPREAD YOGHURT SMALL,1.0,300.3,53.09,247.21,17.68,82.32
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,LOTUS YOGHURT COMBO MEDIUM,148.0,57777.78,18862.47,38915.31,32.65,67.35
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,LOTUS YOGHURT COMBO SMALL,434.5,141918.91,41940.8,99978.11,29.55,70.45
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,LOTUS YOGHURT COMBO X-LARGE,10.5,5360.36,2158.65,3201.71,40.27,59.73
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,LOTUS YOGHURT MEDIUM,4.0,1321.32,509.8,811.52,38.58,61.42
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,LOTUS YOGHURT SMALL,6.75,2027.02,651.55,1375.47,32.14,67.86
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,MANGO,83.0,5714.24,1019.28,4694.96,17.84,82.16
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,MANGO COMBO,4198.0,0.0,51553.37,-51553.37,0.0,100.0
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,MANGO YOGHURT COMBO MEDIUM,630.5,248745.14,53892.67,194852.47,21.67,78.33
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,MANGO YOGHURT COMBO SMALL,2158.5,680886.31,140403.54,540482.77,20.62,79.38
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,MANGO YOGHURT COMBO X-LARGE,60.5,31805.62,8374.96,23430.66,26.33,73.67
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,MANGO YOGHURT MEDIUM,11.5,3821.32,982.97,2838.35,25.72,74.28
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,MANGO YOGHURT SMALL,41.5,11779.2,2699.44,9079.76,22.92,77.08
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,MANGO YOGHURT X-LARGE,4.5,2100.0,622.93,1477.07,29.66,70.34
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,MARSHMALLOW,42.0,2694.35,250.6,2443.75,9.3,90.7
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,MARSHMALLOW COMBO,1967.0,0.0,11736.43,-11736.43,0.0,100.0
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,MIXED NUTS,8.0,480.48,123.15,357.33,25.63,74.37
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,MIXED NUTS COMBO,486.0,0.0,7481.48,-7481.48,0.0,100.0
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,OATS,1.0,60.06,2.3,57.76,3.82,96.18
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,OATS COMBO,42.0,0.0,96.48,-96.48,0.0,100.0
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,OREO,112.0,7030.75,919.7,6111.05,13.08,86.92
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,OREO COMBO,2090.0,0.0,17162.24,-17162.24,0.0,100.0
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,ORIGINAL YOGHURT COMBO MEDIUM,867.9,340711.2,87563.43,253147.77,25.7,74.3
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,ORIGINAL YOGHURT COMBO SMALL,2965.0,984739.56,227143.06,757596.5,23.07,76.93
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,ORIGINAL YOGHURT COMBO X-LARGE,65.0,34097.51,10601.06,23496.45,31.09,68.91
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,ORIGINAL YOGHURT MEDIUM,17.5,5707.81,1765.6,3942.21,30.93,69.07
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,ORIGINAL YOGHURT SMALL,84.5,25259.96,6473.39,18786.57,25.63,74.37
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,ORIGINAL YOGHURT X-LARGE,4.0,1833.33,652.37,1180.96,35.58,64.42
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,PINEAPPLE,81.0,5244.44,1484.22,3760.22,28.3,71.7
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,PINEAPPLE COMBO,2510.0,0.0,45992.62,-45992.62,0.0,100.0
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,PISTACHIO CRUNCH,511.0,51341.29,38612.36,12728.93,75.21,24.79
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,PISTACHIO YOGHURT COMBO MEDIUM,8.5,4250.0,2764.41,1485.59,65.05,34.95
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,PISTACHIO YOGHURT COMBO SMALL,30.5,8233.33,7468.19,765.14,90.71,9.29
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,PISTACHIO YOGHURT COMBO X-LARGE,0.5,316.66,261.01,55.65,82.43,17.57
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,PISTACHIO YOGHURT MEDIUM,1.0,433.34,325.23,108.11,75.05,24.95
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,PISTACHIO YOGHURT X-LARGE,1.0,566.67,522.03,44.64,92.12,7.88
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,QUELLA PISTACCIO,18.0,1802.11,1323.28,478.83,73.43,26.57
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,SPRINKLES,19.0,1253.45,71.42,1182.03,5.7,94.3
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,SPRINKLES COMBO,845.0,0.0,3176.36,-3176.36,0.0,100.0
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,STRAWBERRY,136.0,9327.39,1973.72,7353.67,21.16,78.84
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,STRAWBERRY COMBO,6683.0,0.0,96988.12,-96988.12,0.0,100.0
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,TASTING CUP BLUEBERRY,41.0,0.0,393.19,-393.19,0.0,100.0
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,TASTING CUP CHOCOLATE,130.0,0.0,1121.92,-1121.92,0.0,100.0
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,TASTING CUP MANGO,120.0,0.0,1158.06,-1158.06,0.0,100.0
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,TASTING CUP ORIGINAL YOUGHURT,140.0,0.0,1378.93,-1378.93,0.0,100.0
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,TASTING CUP PISTACHIO,5.0,0.0,168.13,-168.13,0.0,100.0
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,TASTING CUP SPECULOSE LOTUS,8.0,0.0,110.78,-110.78,0.0,100.0
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,VARIEGATO WAFER,66.0,6610.0,3278.39,3331.61,49.6,50.4
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,WAFER ROLL,11.0,713.52,78.17,635.35,10.96,89.04
Stories Lau,TAKE AWAY,FOOD,FROZEN YOGHURT,WAFER ROLL COMBO,988.0,0.0,7020.86,-7020.86,0.0,100.0
Stories Lau,TAKE AWAY,FOOD,GRAB&GO FOOD,ASIAN SALAD (GRAB&GO),49.0,21987.99,6357.57,15630.42,28.91,71.09
Stories Lau,TAKE AWAY,FOOD,GRAB&GO FOOD,BEETROOT CUP,5.0,1051.05,378.88,672.17,36.05,63.95
Stories Lau,TAKE AWAY,FOOD,GRAB&GO FOOD,CAESER SALAD (GRAB&GO),7.0,2942.94,705.68,2237.26,23.98,76.02
Stories Lau,TAKE AWAY,FOOD,GRAB&GO FOOD,CHICKEN CAESER SALAD (GRAB&GO),21.0,9711.71,4452.92,5258.79,45.85,54.15
Stories Lau,TAKE AWAY,FOOD,GRAB&GO FOOD,CHOCOLATE SP/MO,5.0,1051.05,378.88,672.17,36.05,63.95
Stories Lau,TAKE AWAY,FOOD,GRAB&GO FOOD,FREEZE DROPS STRAWBERRY,178.0,35565.77,24215.12,11350.65,68.09,31.91
Stories Lau,TAKE AWAY,FOOD,GRAB&GO FOOD,HONEY PEANUT ST BITES,8.0,1297.3,429.6,867.7,33.12,66.88
Stories Lau,TAKE AWAY,FOOD,GRAB&GO FOOD,MAK BAR CHOCOLATE CRUNCH,4.0,936.94,274.83,662.11,29.33,70.67
Stories Lau,TAKE AWAY,FOOD,GRAB&GO FOOD,MAK BAR PRO COOKIES CREAM,2.0,564.56,167.47,397.09,29.66,70.34
Stories Lau,TAKE AWAY,FOOD,GRAB&GO FOOD,MAK BAR WHITE ALMOND CRUNCH,2.0,468.46,137.41,331.05,29.33,70.67
Stories Lau,TAKE AWAY,FOOD,GRAB&GO FOOD,MEDIUM CHIPS,220.0,14171.17,2415.31,11755.86,17.04,82.96
Stories Lau,TAKE AWAY,FOOD,GRAB&GO FOOD,QUINOA SALAD (GRAB&GO),52.0,24178.38,9996.33,14182.05,41.34,58.66
Stories Lau,TAKE AWAY,FOOD,GRAB&GO FOOD,SPECIALITY COFFEE ST BITES,11.0,1783.78,590.7,1193.08,33.12,66.88
Stories Lau,TAKE AWAY,FOOD,GRAB&GO FOOD,TIRAMISU CUP,44.0,16516.52,7219.67,9296.85,43.71,56.29
Stories Lau,TAKE AWAY,FOOD,GRAB&GO FOOD,TUNA PASTA SALAD (GRAB&GO),77.0,35790.39,14651.38,21139.01,40.94,59.06
Stories Lau,TAKE AWAY,FOOD,GRAB&GO FOOD,VANILLA ASH,7.0,1471.47,530.44,941.03,36.05,63.95
Stories Lau,TAKE AWAY,FOOD,PLAT DE JOUR,BUTTER CHICKEN,2.0,1261.26,840.0,421.26,66.6,33.4
Stories Lau,TAKE AWAY,FOOD,PLAT DE JOUR,CHICKEN ALFREDO PASTA,1.0,630.63,437.33,193.3,69.35,30.65
Stories Lau,TAKE AWAY,FOOD,PLAT DE JOUR,CHICKEN STROGANOFF,1.0,630.63,440.83,189.8,69.9,30.1
Stories Lau,TAKE AWAY,FOOD,PLAT DE JOUR,FREEKEH WITH CHICKEN,3.0,1891.89,989.87,902.02,52.32,47.68
Stories Lau,TAKE AWAY,FOOD,PLAT DE JOUR,KIBBEB B LABAN,1.0,630.63,468.33,162.3,74.26,25.74
Stories Lau,TAKE AWAY,FOOD,PLAT DE JOUR,LASAGNA,3.0,1891.89,1342.5,549.39,70.96,29.04
Stories Lau,TAKE AWAY,FOOD,PLAT DE JOUR,NOUILLE,4.0,2522.52,2696.93,-174.41,106.91,-6.91
Stories Lau,TAKE AWAY,FOOD,PLAT DE JOUR,ORIENTAL RICE,2.0,1261.26,989.33,271.93,78.44,21.56
Stories Lau,TAKE AWAY,FOOD,PLAT DE JOUR,POTATO SOUFFLE,1.0,630.63,351.2,279.43,55.69,44.31
Stories Lau,TAKE AWAY,FOOD,PLAT DE JOUR,ROASTED CHICKEN,5.0,3153.15,2805.23,347.92,88.97,11.03
Stories Lau,TAKE AWAY,FOOD,PLAT DE JOUR,SHAKRIYEH,1.0,630.63,665.88,-35.25,105.59,-5.59
Stories Lau,TAKE AWAY,FOOD,PLAT DE JOUR,SHISH BARAK,6.0,3783.78,3107.44,676.34,82.13,17.87
Stories Lau,TAKE AWAY,FOOD,PLAT DE JOUR,VEGETARIAN GRAPE LEAVES,4.0,2522.53,944.83,1577.7,37.46,62.54
Stories Lau,TAKE AWAY,FOOD,SANDWICHES,BROWN CHICKEN CAESAR SANDWICH,119.0,56626.12,22070.08,34556.04,38.98,61.02
Stories Lau,TAKE AWAY,FOOD,SANDWICHES,BROWN CHICKEN TERIAKI SUB,32.0,12205.4,5447.69,6757.71,44.63,55.37
Stories Lau,TAKE AWAY,FOOD,SANDWICHES,BROWN LABNEH SUB,65.0,18489.19,6204.57,12284.62,33.56,66.44
Stories Lau,TAKE AWAY,FOOD,SANDWICHES,BROWN PESTO HALLOUMI SUB,165.0,53748.05,21878.83,31869.22,40.71,59.29
Stories Lau,TAKE AWAY,FOOD,SANDWICHES,BROWN PULLED BEEF CHIMICHURRI SANDWICH,1.0,450.45,169.73,280.72,37.68,62.32
Stories Lau,TAKE AWAY,FOOD,SANDWICHES,BROWN TUNA SUB,104.0,39142.7,12787.31,26355.39,32.67,67.33
Stories Lau,TAKE AWAY,FOOD,SANDWICHES,BROWN TURKEY & CHEESE SUB,300.0,117790.99,35539.25,82251.74,30.17,69.83
Stories Lau,TAKE AWAY,FOOD,SANDWICHES,BROWN VEGGIE SUB,1.0,400.0,78.29,321.71,19.57,80.43
Stories Lau,TAKE AWAY,FOOD,SANDWICHES,CHICKEN CAESAR SANDWICH,250.0,110284.68,41831.05,68453.63,37.93,62.07
Stories Lau,TAKE AWAY,FOOD,SANDWICHES,CHICKEN TERIAKI SUB,109.0,38295.19,16579.09,21716.1,43.29,56.71
Stories Lau,TAKE AWAY,FOOD,SANDWICHES,LABNEH SUB,270.0,14645.28,20875.37,-6230.09,142.54,-42.54
Stories Lau,TAKE AWAY,FOOD,SANDWICHES,PESTO HALLOUMI SUB,152.0,43965.14,17397.97,26567.17,39.57,60.43
Stories Lau,TAKE AWAY,FOOD,SANDWICHES,PULLED BEEF CHIMICHURRI SANDWICH,4.0,1681.68,606.37,1075.31,36.06,63.94
Stories Lau,TAKE AWAY,FOOD,SANDWICHES,TUNA SUB,221.0,77363.7,23164.4,54199.3,29.94,70.06
